日期,CTA净值,中证500,上证50,回撤,日涨跌,,
2016/2/4,1.0000 ,1.0000 ,1.0000 ,,,,
2016/2/5,0.9902 ,0.9900 ,0.9965 ,-0.98%,-0.98%,,
2016/2/15,0.9836 ,0.9907 ,0.9869 ,-1.64%,-0.67%,,
2016/2/16,1.0232 ,1.0316 ,1.0135 ,0.00%,4.03%,,
2016/2/17,1.0347 ,1.0437 ,1.0204 ,0.00%,1.12%,,
2016/2/18,1.0375 ,1.0412 ,1.0177 ,0.00%,0.27%,,
2016/2/19,1.0339 ,1.0451 ,1.0151 ,-0.35%,-0.35%,,
2016/2/22,1.0517 ,1.0668 ,1.0403 ,0.00%,1.73%,,
2016/2/23,1.0474 ,1.0610 ,1.0280 ,-0.41%,-0.41%,,
2016/2/24,1.0540 ,1.0681 ,1.0340 ,0.00%,0.63%,,
2016/2/25,1.1470 ,0.9833 ,0.9789 ,0.00%,8.82%,,
2016/2/26,1.1588 ,0.9873 ,0.9905 ,0.00%,1.03%,,
2016/2/29,1.1427 ,0.9351 ,0.9850 ,-1.39%,-1.39%,,
2016/3/1,1.1767 ,0.9567 ,0.9995 ,0.00%,2.97%,,
2016/3/2,1.2578 ,1.0055 ,1.0350 ,0.00%,6.89%,,
2016/3/3,1.2614 ,1.0097 ,1.0400 ,0.00%,0.29%,,
2016/3/4,1.2952 ,0.9825 ,1.0750 ,0.00%,2.68%,,
2016/3/7,1.3288 ,1.0054 ,1.0676 ,0.00%,2.59%,,
2016/3/8,1.3257 ,1.0075 ,1.0714 ,-0.23%,-0.23%,,
2016/3/9,1.3109 ,0.9817 ,1.0697 ,-1.34%,-1.11%,,
2016/3/10,1.2858 ,0.9651 ,1.0442 ,-3.24%,-1.92%,,
2016/3/11,1.2899 ,0.9629 ,1.0489 ,-2.93%,0.32%,,
2016/3/14,1.2379 ,0.9946 ,1.0528 ,-6.84%,-4.03%,,
2016/3/15,1.2452 ,0.9857 ,1.0643 ,-6.29%,0.59%,,
2016/3/16,1.2603 ,0.9723 ,1.0820 ,-5.15%,1.21%,,
2016/3/17,1.2750 ,1.0043 ,1.0796 ,-4.04%,1.17%,,
2016/3/18,1.2850 ,1.0398 ,1.0846 ,-3.30%,0.78%,,
2016/3/21,1.3195 ,1.0661 ,1.1110 ,-0.70%,2.69%,,
2016/3/22,1.3173 ,1.0619 ,1.1008 ,-0.86%,-0.17%,,
2016/3/23,1.3234 ,1.0695 ,1.1018 ,-0.40%,0.47%,,
2016/3/24,1.2999 ,1.0519 ,1.0827 ,-2.17%,-1.78%,,
2016/3/25,1.3148 ,1.0622 ,1.0886 ,-1.05%,1.15%,,
2016/3/28,1.3000 ,1.0553 ,1.0754 ,-2.17%,-1.13%,,
2016/3/29,1.2845 ,1.0350 ,1.0672 ,-3.33%,-1.19%,,
2016/3/30,1.3359 ,1.0727 ,1.0928 ,0.00%,4.01%,,
2016/3/31,1.3358 ,1.0759 ,1.0923 ,-0.01%,-0.01%,,
2016/4/1,1.3336 ,1.0704 ,1.0980 ,-0.18%,-0.16%,,
2016/4/5,1.3384 ,1.0988 ,1.1044 ,0.00%,0.36%,,
2016/4/6,1.3329 ,1.1052 ,1.0982 ,-0.40%,-0.40%,,
2016/4/7,1.3181 ,1.0887 ,1.0837 ,-1.51%,-1.11%,,
2016/4/8,1.3088 ,1.0782 ,1.0758 ,-2.21%,-0.71%,,
2016/4/11,1.3350 ,1.1019 ,1.0882 ,-0.25%,2.01%,,
2016/4/12,1.3339 ,1.0929 ,1.0859 ,-0.33%,-0.09%,,
2016/4/13,1.3193 ,1.1088 ,1.0998 ,-1.42%,-1.09%,,
2016/4/14,1.3245 ,1.1189 ,1.1037 ,-1.03%,0.39%,,
2016/4/15,1.3267 ,1.1159 ,1.1053 ,-0.87%,0.17%,,
2016/4/18,1.3126 ,1.0978 ,1.0932 ,-1.93%,-1.07%,,
2016/4/19,1.3157 ,1.1026 ,1.0959 ,-1.69%,0.24%,,
2016/4/20,1.3825 ,1.0526 ,1.0915 ,0.00%,5.07%,,
2016/4/21,1.3814 ,1.0436 ,1.0879 ,-0.08%,-0.08%,,
2016/4/22,1.3884 ,1.0507 ,1.0929 ,0.00%,0.50%,,
2016/4/25,1.3812 ,1.0448 ,1.0882 ,-0.51%,-0.51%,,
2016/4/26,1.3838 ,1.0569 ,1.0920 ,-0.33%,0.19%,,
2016/4/27,1.3771 ,1.0516 ,1.0867 ,-0.81%,-0.49%,,
2016/4/28,1.3689 ,1.0470 ,1.0850 ,-1.40%,-0.59%,,
2016/4/29,1.3689 ,1.0462 ,1.0817 ,-1.40%,0.00%,,
2016/5/3,1.4248 ,1.0779 ,1.0932 ,0.00%,4.08%,,
2016/5/4,1.4205 ,1.0784 ,1.0905 ,-0.30%,-0.30%,,
2016/5/5,1.4181 ,1.0843 ,1.0905 ,-0.47%,-0.17%,,
2016/5/6,1.3814 ,1.0419 ,1.0673 ,-3.05%,-2.59%,,
2016/5/9,1.3258 ,1.0039 ,1.0498 ,-6.95%,-4.02%,,
2016/5/10,1.3251 ,1.0030 ,1.0497 ,-6.99%,-0.05%,,
2016/5/11,1.3289 ,1.0003 ,1.0528 ,-6.73%,0.28%,,
2016/5/12,1.3322 ,1.0009 ,1.0560 ,-6.50%,0.25%,,
2016/5/13,1.3343 ,0.9987 ,1.0516 ,-6.35%,0.16%,,
2016/5/16,1.3373 ,1.0159 ,1.0549 ,-6.14%,0.22%,,
2016/5/17,1.3355 ,1.0120 ,1.0513 ,-6.27%,-0.14%,,
2016/5/18,1.3689 ,0.9842 ,1.0529 ,-3.92%,2.50%,,
2016/5/19,1.3705 ,0.9904 ,1.0504 ,-3.81%,0.12%,,
2016/5/20,1.3826 ,1.0020 ,1.0552 ,-2.96%,0.88%,,
2016/5/23,1.4006 ,1.0154 ,1.0548 ,-1.70%,1.30%,,
2016/5/24,1.3925 ,1.0038 ,1.0468 ,-2.27%,-0.58%,,
2016/5/25,1.3953 ,0.9989 ,1.0495 ,-2.07%,0.20%,,
2016/5/26,1.3955 ,1.0040 ,1.0516 ,-2.06%,0.01%,,
2016/5/27,1.3989 ,1.0032 ,1.0510 ,-1.82%,0.24%,,
2016/5/30,1.4033 ,0.9982 ,1.0597 ,-1.51%,0.32%,,
2016/5/31,1.4495 ,1.0395 ,1.0919 ,0.00%,3.30%,,
2016/6/1,1.4434 ,1.0441 ,1.0834 ,-0.43%,-0.43%,,
2016/6/2,1.4527 ,1.0511 ,1.0828 ,0.00%,0.64%,,
2016/6/3,1.4688 ,1.0544 ,1.0904 ,0.00%,1.11%,,
