000001.SZ,平安银行,
时间,卖1价,买1价
Time,ask1,bid1
2019-04-29 09:15:09,13.800,13.800
2019-04-29 09:15:18,13.800,13.800
2019-04-29 09:15:27,13.800,13.800
2019-04-29 09:15:36,13.800,13.800
2019-04-29 09:15:45,13.800,13.800
2019-04-29 09:15:54,13.800,13.800
2019-04-29 09:16:03,13.800,13.800
2019-04-29 09:16:12,13.800,13.800
2019-04-29 09:16:30,13.800,13.800
2019-04-29 09:16:39,13.800,13.800
2019-04-29 09:16:48,13.800,13.800
2019-04-29 09:16:57,13.800,13.800
2019-04-29 09:17:06,13.800,13.800
2019-04-29 09:17:15,13.800,13.800
2019-04-29 09:17:24,13.800,13.800
2019-04-29 09:17:33,13.800,13.800
2019-04-29 09:17:42,13.800,13.800
2019-04-29 09:17:51,13.800,13.800
2019-04-29 09:18:00,13.800,13.800
2019-04-29 09:18:09,13.800,13.800
2019-04-29 09:18:18,13.800,13.800
2019-04-29 09:18:27,13.800,13.800
2019-04-29 09:18:36,13.800,13.800
2019-04-29 09:18:45,13.800,13.800
2019-04-29 09:18:54,13.800,13.800
2019-04-29 09:19:03,13.800,13.800
2019-04-29 09:19:12,13.800,13.800
2019-04-29 09:19:21,13.800,13.800
2019-04-29 09:19:30,13.800,13.800
2019-04-29 09:19:39,13.800,13.800
2019-04-29 09:19:57,13.800,13.800
2019-04-29 09:20:09,13.800,13.800
2019-04-29 09:20:18,13.800,13.800
2019-04-29 09:20:27,13.800,13.800
2019-04-29 09:20:36,13.800,13.800
2019-04-29 09:20:45,13.800,13.800
2019-04-29 09:20:54,13.800,13.800
2019-04-29 09:21:03,13.800,13.800
2019-04-29 09:21:12,13.800,13.800
2019-04-29 09:21:21,13.800,13.800
2019-04-29 09:21:30,13.800,13.800
2019-04-29 09:21:39,13.800,13.800
2019-04-29 09:21:48,13.800,13.800
2019-04-29 09:21:57,13.800,13.800
2019-04-29 09:22:06,13.800,13.800
2019-04-29 09:22:15,13.800,13.800
2019-04-29 09:22:24,13.800,13.800
2019-04-29 09:22:33,13.800,13.800
2019-04-29 09:22:42,13.800,13.800
2019-04-29 09:22:51,13.810,13.810
2019-04-29 09:23:00,13.820,13.820
2019-04-29 09:23:09,13.840,13.840
2019-04-29 09:23:18,13.850,13.850
2019-04-29 09:23:27,13.850,13.850
2019-04-29 09:23:36,13.850,13.850
2019-04-29 09:23:45,13.850,13.850
2019-04-29 09:23:54,13.850,13.850
2019-04-29 09:24:03,13.850,13.850
2019-04-29 09:24:12,13.850,13.850
2019-04-29 09:24:21,13.890,13.890
2019-04-29 09:24:30,13.890,13.890
2019-04-29 09:24:39,13.880,13.880
2019-04-29 09:24:48,13.890,13.890
2019-04-29 09:24:57,13.890,13.890
2019-04-29 09:25:03,13.900,13.890
2019-04-29 09:25:03,13.900,13.890
2019-04-29 09:30:03,13.930,13.920
2019-04-29 09:30:03,13.930,13.920
2019-04-29 09:30:06,13.940,13.930
2019-04-29 09:30:09,13.940,13.930
2019-04-29 09:30:12,13.930,13.920
2019-04-29 09:30:15,13.930,13.920
2019-04-29 09:30:18,13.950,13.940
2019-04-29 09:30:21,13.930,13.910
2019-04-29 09:30:24,13.960,13.950
2019-04-29 09:30:27,13.950,13.940
2019-04-29 09:30:30,13.930,13.920
2019-04-29 09:30:33,13.930,13.920
2019-04-29 09:30:36,13.950,13.930
2019-04-29 09:30:39,13.950,13.930
2019-04-29 09:30:42,13.950,13.930
2019-04-29 09:30:45,13.940,13.930
2019-04-29 09:30:48,13.940,13.930
2019-04-29 09:30:51,13.920,13.910
2019-04-29 09:30:54,13.930,13.920
2019-04-29 09:30:57,13.930,13.920
2019-04-29 09:31:00,13.930,13.920
2019-04-29 09:31:03,13.930,13.920
2019-04-29 09:31:06,13.930,13.920
2019-04-29 09:31:09,13.930,13.920
2019-04-29 09:31:12,13.930,13.920
2019-04-29 09:31:15,13.920,13.910
2019-04-29 09:31:18,13.910,13.900
2019-04-29 09:31:21,13.910,13.900
2019-04-29 09:31:24,13.930,13.920
2019-04-29 09:31:27,13.920,13.910
2019-04-29 09:31:30,13.920,13.910
2019-04-29 09:31:33,13.920,13.910
2019-04-29 09:31:36,13.920,13.910
2019-04-29 09:31:39,13.920,13.910
2019-04-29 09:31:42,13.920,13.910
2019-04-29 09:31:45,13.920,13.910
2019-04-29 09:31:48,13.920,13.910
2019-04-29 09:31:51,13.930,13.920
2019-04-29 09:31:54,13.930,13.920
2019-04-29 09:31:57,13.910,13.900
2019-04-29 09:32:00,13.920,13.910
2019-04-29 09:32:03,13.920,13.910
2019-04-29 09:32:06,13.920,13.910
2019-04-29 09:32:09,13.920,13.910
2019-04-29 09:32:12,13.910,13.900
2019-04-29 09:32:15,13.920,13.910
2019-04-29 09:32:18,13.910,13.890
2019-04-29 09:32:21,13.900,13.890
2019-04-29 09:32:24,13.930,13.920
2019-04-29 09:32:27,13.930,13.920
2019-04-29 09:32:30,13.930,13.920
2019-04-29 09:32:33,13.910,13.900
2019-04-29 09:32:36,13.920,13.910
2019-04-29 09:32:39,13.920,13.910
2019-04-29 09:32:42,13.920,13.910
2019-04-29 09:32:45,13.920,13.910
2019-04-29 09:32:48,13.920,13.890
2019-04-29 09:32:51,13.930,13.920
2019-04-29 09:32:54,13.920,13.910
2019-04-29 09:32:57,13.920,13.910
2019-04-29 09:33:00,13.920,13.910
2019-04-29 09:33:03,13.910,13.900
2019-04-29 09:33:06,13.910,13.900
2019-04-29 09:33:09,13.910,13.900
2019-04-29 09:33:12,13.910,13.900
2019-04-29 09:33:15,13.910,13.900
2019-04-29 09:33:18,13.910,13.900
2019-04-29 09:33:21,13.920,13.910
2019-04-29 09:33:24,13.920,13.900
2019-04-29 09:33:27,13.910,13.900
2019-04-29 09:33:30,13.910,13.900
2019-04-29 09:33:33,13.920,13.900
2019-04-29 09:33:36,13.920,13.910
2019-04-29 09:33:39,13.910,13.900
2019-04-29 09:33:42,13.910,13.900
2019-04-29 09:33:45,13.920,13.900
2019-04-29 09:33:48,13.930,13.910
2019-04-29 09:33:51,13.920,13.910
2019-04-29 09:33:54,13.930,13.920
2019-04-29 09:33:57,13.940,13.930
2019-04-29 09:34:00,13.940,13.930
2019-04-29 09:34:03,13.930,13.920
2019-04-29 09:34:06,13.920,13.910
2019-04-29 09:34:09,13.940,13.930
2019-04-29 09:34:12,13.930,13.920
2019-04-29 09:34:15,13.920,13.910
2019-04-29 09:34:18,13.930,13.920
2019-04-29 09:34:21,13.940,13.930
2019-04-29 09:34:24,13.940,13.930
2019-04-29 09:34:27,13.940,13.930
2019-04-29 09:34:30,13.930,13.920
2019-04-29 09:34:33,13.940,13.930
2019-04-29 09:34:36,13.940,13.930
2019-04-29 09:34:39,13.940,13.920
2019-04-29 09:34:42,13.930,13.920
2019-04-29 09:34:45,13.930,13.920
2019-04-29 09:34:48,13.920,13.910
2019-04-29 09:34:51,13.920,13.910
2019-04-29 09:34:54,13.940,13.910
2019-04-29 09:34:57,13.920,13.910
2019-04-29 09:35:00,13.930,13.910
2019-04-29 09:35:03,13.940,13.910
2019-04-29 09:35:06,13.930,13.920
2019-04-29 09:35:09,13.930,13.900
2019-04-29 09:35:12,13.910,13.900
2019-04-29 09:35:15,13.910,13.900
2019-04-29 09:35:18,13.930,13.910
2019-04-29 09:35:21,13.920,13.910
2019-04-29 09:35:24,13.930,13.920
2019-04-29 09:35:27,13.920,13.900
2019-04-29 09:35:30,13.930,13.920
2019-04-29 09:35:33,13.920,13.900
2019-04-29 09:35:36,13.930,13.920
2019-04-29 09:35:39,13.930,13.920
2019-04-29 09:35:42,13.940,13.930
2019-04-29 09:35:45,13.940,13.930
2019-04-29 09:35:48,13.950,13.940
2019-04-29 09:35:51,13.960,13.950
2019-04-29 09:35:54,13.960,13.950
2019-04-29 09:35:57,13.970,13.960
2019-04-29 09:36:00,13.990,13.980
2019-04-29 09:36:03,14.000,13.990
2019-04-29 09:36:06,14.020,14.000
2019-04-29 09:36:09,14.040,14.020
2019-04-29 09:36:12,14.050,14.030
2019-04-29 09:36:15,14.050,14.030
2019-04-29 09:36:18,14.030,14.020
2019-04-29 09:36:21,14.080,14.070
2019-04-29 09:36:24,14.070,14.030
2019-04-29 09:36:27,14.070,14.040
2019-04-29 09:36:30,14.060,14.020
2019-04-29 09:36:33,14.020,14.010
2019-04-29 09:36:36,14.020,14.000
2019-04-29 09:36:39,14.020,14.010
2019-04-29 09:36:42,14.010,14.000
2019-04-29 09:36:45,14.030,14.020
2019-04-29 09:36:48,14.050,14.020
2019-04-29 09:36:51,14.040,14.020
2019-04-29 09:36:54,14.000,13.990
2019-04-29 09:36:57,14.000,13.990
2019-04-29 09:37:00,14.000,13.990
2019-04-29 09:37:03,14.000,13.980
2019-04-29 09:37:06,13.980,13.970
2019-04-29 09:37:09,13.980,13.970
2019-04-29 09:37:12,14.000,13.970
2019-04-29 09:37:15,13.990,13.980
2019-04-29 09:37:18,14.000,13.990
2019-04-29 09:37:21,13.990,13.980
2019-04-29 09:37:24,14.000,13.990
2019-04-29 09:37:27,14.010,13.990
2019-04-29 09:37:30,14.040,14.030
2019-04-29 09:37:33,14.050,14.040
2019-04-29 09:37:36,14.030,14.020
2019-04-29 09:37:39,14.030,14.020
2019-04-29 09:37:42,14.040,14.020
2019-04-29 09:37:45,14.030,14.010
2019-04-29 09:37:48,14.030,14.000
2019-04-29 09:37:51,14.030,14.020
2019-04-29 09:37:54,14.040,14.030
2019-04-29 09:37:57,14.040,14.030
2019-04-29 09:38:00,14.040,14.030
2019-04-29 09:38:03,14.030,14.020
2019-04-29 09:38:06,14.030,14.020
2019-04-29 09:38:09,14.030,14.020
2019-04-29 09:38:12,14.030,14.020
2019-04-29 09:38:15,14.030,14.020
2019-04-29 09:38:18,14.030,14.020
2019-04-29 09:38:21,14.030,14.020
2019-04-29 09:38:24,14.030,14.020
2019-04-29 09:38:27,14.020,14.010
2019-04-29 09:38:30,14.010,14.000
2019-04-29 09:38:33,14.030,14.000
2019-04-29 09:38:36,14.010,14.000
2019-04-29 09:38:39,14.010,14.000
2019-04-29 09:38:42,14.020,14.000
2019-04-29 09:38:45,14.000,13.990
2019-04-29 09:38:48,13.990,13.980
2019-04-29 09:38:51,13.990,13.980
2019-04-29 09:38:54,14.000,13.990
2019-04-29 09:38:57,14.000,13.990
2019-04-29 09:39:00,14.000,13.990
2019-04-29 09:39:03,14.000,13.990
2019-04-29 09:39:06,14.000,13.990
2019-04-29 09:39:09,14.010,14.000
2019-04-29 09:39:12,14.020,14.000
2019-04-29 09:39:15,14.000,13.990
2019-04-29 09:39:18,14.000,13.990
2019-04-29 09:39:21,14.020,14.010
2019-04-29 09:39:24,14.020,14.010
2019-04-29 09:39:27,14.020,14.010
2019-04-29 09:39:30,14.020,14.010
2019-04-29 09:39:33,14.030,14.010
2019-04-29 09:39:36,14.030,14.020
2019-04-29 09:39:39,14.030,14.020
2019-04-29 09:39:42,14.020,14.010
2019-04-29 09:39:45,14.030,14.020
2019-04-29 09:39:48,14.030,14.020
2019-04-29 09:39:51,14.030,14.020
2019-04-29 09:39:54,14.020,14.010
2019-04-29 09:39:57,14.020,14.010
2019-04-29 09:40:00,14.030,14.020
2019-04-29 09:40:03,14.030,14.020
2019-04-29 09:40:06,14.030,14.020
2019-04-29 09:40:09,14.020,14.010
2019-04-29 09:40:12,14.010,14.000
2019-04-29 09:40:15,14.010,14.000
2019-04-29 09:40:18,14.020,14.010
2019-04-29 09:40:21,14.020,14.010
2019-04-29 09:40:24,14.010,14.000
2019-04-29 09:40:27,14.010,14.000
2019-04-29 09:40:30,14.010,13.990
